exits can be expressed as int from 0-63
n = north, e = east, s = south, w = west, u = up, d = down

dec  duwsen (bin)    duwsen (hex)

00   000000          000000
01   000001          000001
02   000010          000002
03   000011          000003
04   000100          000004
05   000101          000005
06   000110          000006
07   000111          000007
08   001000          000008
09   001001          000009
10   001010          00000a
11   001011          00000b
12   001100          00000c
13   001101          00000d
14   001110          00000e
15   001111          00000f
16   010000          000010
17   010001          000011
18   010010          000012
19   010011          000013
20   010100          000014
21   010101          000015
22   010110          000016
23   010111          000017
24   011000          000018
25   011001          000019
26   011010          00001a
27   011011          00001b
28   011100          00001c
29   011101          00001d
30   011110          00001e
31   011111          00001f
32   100000          000020
33   100001          000021
34   100010          000022
35   100011          000023
36   100100          000024
37   100101          000025
38   100110          000026
39   100111          000027
40   101000          000028
41   101001          000029
42   101010          00002a
43   101011          00002b
44   101100          00002c
45   101101          00002d
46   101110          00002e
47   101111          00002f
48   110000          000030
49   110001          000031
50   110010          000032
51   110011          000033
52   110100          000034
53   110101          000035
54   110110          000036
55   110111          000037
56   111000          000038
57   111001          000039
58   111010          00004a
59   111011          00004b
60   111100          00004c
61   111101          00004d
62   111110          00004e
63   111111          00004f
